"transaction_id","user_id","subscription_id","quantity","product_name","type","timestamp","reference_number","stripe_session_id","stripe_invoice_id","stripe_customer_id","datatrans_transaction_id","price_amount","price_currency","carbon_amount","carbon_mix","transaction_status"
"250","102",NULL,"1","First Step","ONETIME","2021-12-24 12:38:44","61c5b14447d64",,NULL,NULL,,"4500","CHF","1170","standard","PAYMENT_WITH_PROMOCODE"
"251","103",NULL,"1","First Step","ONETIME","2021-12-24 12:40:15","61c5b19fb8ac1",,NULL,NULL,,"4500","CHF","1170","standard","PAYMENT_WITH_PROMOCODE"
"252","104",NULL,"1","Friendly Gesture","ONETIME","2021-12-25 10:03:27","61c6de5f071ca",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"253","105",NULL,"1","Friendly Gesture","ONETIME","2021-12-25 10:08:33","61c6df91c5d51",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"254","106",NULL,"1","Oustanding Support","ONETIME","2021-12-25 18:51:40","61c75a2c01b2b",,NULL,NULL,,"15500","CHF","4700","standard","PAYMENT_WITH_PROMOCODE"
"255","107",NULL,"1","Oustanding Support","ONETIME","2021-12-26 08:52:11","61c81f2b2bb8d",,NULL,NULL,,"15500","CHF","4700","standard","PAYMENT_WITH_PROMOCODE"
"256","108",NULL,"1","Friendly Gesture","ONETIME","2021-12-27 14:02:04","61c9b94cb5544",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"257","109",NULL,"1","Friendly Gesture","ONETIME","2021-12-27 15:10:54","61c9c96ef0807",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"258","110",NULL,"1","Friendly Gesture","ONETIME","2021-12-30 13:12:38","61cda2361db59",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"259","111",NULL,"1","Friendly Gesture","ONETIME","2022-01-03 22:30:37","61d36afda286b",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"260","112",NULL,"1","Friendly Gesture","ONETIME","2022-01-06 08:46:36","61d69e5ce2a3c",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"261","113",NULL,"1","Friendly Gesture","ONETIME","2022-01-09 18:20:18","61db195220e40",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"262","114",NULL,"1","Friendly Gesture","ONETIME","2022-01-13 11:48:54","61e00396dd1b2",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"263","115",NULL,"1","Friendly Gesture","ONETIME","2022-01-15 16:23:49","61e2e705181b4",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"264","116",NULL,"1","Friendly Gesture","ONETIME","2022-01-20 11:20:35","61e937731497f",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"265","117","78","1","Climate Hero","SUB_FIRST","2022-01-21 15:01:52","61eabccf15dbd","cs_live_b1fGxC2iYLjK5YMOfkmEHYqlWYKaWG6mpCvb7vfbJlDDP8iXPKyGffqu3x",NULL,NULL,,"3600","CHF","1167","standard","CREATED"
"266","118",NULL,"1","First Step","ONETIME","2022-01-24 17:24:44","61eed2cc89156",,NULL,NULL,,"4500","CHF","1170","standard","PAYMENT_WITH_PROMOCODE"
"267","119",NULL,"1","Friendly Gesture","ONETIME","2022-01-26 05:23:06","61f0ccaa0c68c",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"268","120",NULL,"1","Friendly Gesture","ONETIME","2022-02-07 20:55:33","6201793541581",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"269","121",NULL,"1","Friendly Gesture","ONETIME","2022-02-07 20:57:12","62017998d2939",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"270","89",NULL,"1","First Step","ONETIME","2022-03-07 09:39:45","6225c4d17dbb9",,NULL,NULL,,"4500","CHF","1170","standard","PAYMENT_WITH_PROMOCODE"
"271","122","79","1","Climate Citizen","SUB_FIRST","2022-03-15 08:08:23","62303b662efc5","cs_live_b1vu9lVzXz3o9Ild2OqYgu28hnPdhxr0QcgrgzWzatyjiAVlRh2myPmm7N","in_1KdUVAC86j9xUPn0mbjgr7W8","cus_LK8mIl5iVtX8iM",,"1000","CHF","292","standard","PAYMENT_SUCCESSFUL"
"272","65","80","1","Climate Activist","SUB_FIRST","2022-03-15 18:17:47","6230ca3a690a1","cs_live_b16ZD6LvG8MgEuePVW8BE4prXWOJSq9ZAgzu0x9LYbp9tqvswTILXc81Vh",NULL,NULL,,"1900","CHF","584","standard","CREATED"
"273","123",NULL,"1","First Step","ONETIME","2022-04-20 21:05:14","626059696b3dc","cs_live_b1o7VDXj4ussRfAXAZHPfydyngHTnVLoR3rBlvpjUdk7WEsBR99w2nJZhW",NULL,"cus_LXoTl43G7KFgaU",,"4500","CHF","1170","standard","PAYMENT_SUCCESSFUL"
"274","124",NULL,"1","First Step","ONETIME","2022-04-20 21:06:24","626059afb07be","cs_live_b1F5jPNgOuZCVzZPBZdB1LR9fVSfDmodWSs9JR6Rk4RbXVmujQtiqXWv3W",NULL,"cus_LXoUNCWFjPYdqq",,"4500","CHF","1170","standard","PAYMENT_SUCCESSFUL"
"275","125",NULL,"1","First Step","ONETIME","2022-04-26 19:08:55","6268272678fb0","cs_live_b1DY7qkBkemWrKkWa80YpbFO3DradoQNlN3grQRtanSaL5BgkPBbsKXr7c",NULL,"cus_La1xyHVLcaoYp4",,"4500","CHF","1170","standard","PAYMENT_SUCCESSFUL"
"276","126",NULL,"1","Outstanding Support Gift 
(PDF)","GIFT_ONETIME","2022-07-16 18:06:58","62d2e221282a5","cs_live_b1NYNSxxrWvRIHlPNyLbg5mNuUZoeJQMd3f0RUSJJa7uKyvEeRvMDfrIRN",NULL,NULL,,"15500","CHF","0","-","CREATED"
"277","127",NULL,"1","First Step","ONETIME","2022-07-21 09:10:13","62d8fbd4845fc","cs_live_b1FqbfFKKKH2TVD42RP6Wt7VXi47eCysa5jqsX8FHMjQSYST3T9tb10eqF",NULL,"cus_M65j0hWz0SGTE6",,"4500","CHF","1170","standard","PAYMENT_SUCCESSFUL"
